RK,TEAM,GP,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
1,Northwestern State,31,84.1,29.6-64.1,0.462,8.1-22.8,0.355,16.8-22.5,0.747
2,BYU,34,83.6,27.9-59.8,0.467,8.4-21.6,0.388,19.4-25.3,0.768
3,Eastern Washington,34,80.8,28.0-58.3,0.48,9.9-24.5,0.403,15.0-20.7,0.723
4,Duke,33,80.6,28.6-57.0,0.502,7.6-19.6,0.386,15.8-22.9,0.691
5,VMI,30,80.5,27.6-69.1,0.4,11.4-35.9,0.317,13.8-20.2,0.684
6,Davidson,31,79.9,28.3-60.0,0.471,10.9-27.4,0.397,12.5-17.5,0.711
7,Incarnate Word,28,79.6,26.7-56.6,0.472,6.9-18.6,0.372,19.3-26.3,0.735
7,Iona,34,79.6,27.2-58.2,0.468,9.9-24.9,0.4,15.2-21.6,0.704
9,Stephen F. Austin,33,79.5,27.1-55.1,0.491,7.8-20.2,0.386,17.5-23.8,0.734
10,Gonzaga,34,79.1,28.6-54.6,0.524,7.1-17.4,0.408,14.8-21.4,0.691
10,Murray State,32,79.1,27.7-57.2,0.484,7.4-19.3,0.386,16.3-23.3,0.697
12,Notre Dame,34,78.8,27.8-54.5,0.51,8.3-21.1,0.392,15.0-20.2,0.74
13,Hofstra,33,78.4,26.5-59.0,0.449,8.9-24.4,0.367,16.4-23.5,0.698
13,Iowa State,33,78.4,27.8-57.8,0.48,7.8-21.3,0.366,15.1-21.6,0.696
15,Central Michigan,31,78.2,26.3-56.2,0.468,10.2-27.1,0.376,15.4-21.2,0.725
16,Arkansas,34,78,27.4-61.3,0.447,6.7-19.1,0.35,16.5-22.8,0.724
17,North Carolina,35,77.9,29.1-61.3,0.475,4.8-13.8,0.345,14.9-21.3,0.7
18,Indiana,33,77.5,27.2-58.5,0.466,9.3-23.2,0.403,13.7-19.1,0.715
19,UL Lafayette,33,77.4,27.2-59.5,0.456,6.7-18.9,0.356,16.3-23.2,0.701
20,Omaha,29,76.8,26.4-59.4,0.445,6.2-18.6,0.332,17.7-25.4,0.696
21,Idaho,30,76.7,26.8-57.5,0.466,7.9-19.1,0.413,15.2-21.4,0.709
22,Arizona,34,76.4,26.7-54.6,0.489,5.1-14.1,0.36,18.0-25.7,0.699
23,Villanova,34,76.3,25.3-53.9,0.47,9.0-23.1,0.389,16.6-22.9,0.727
24,Ohio State,33,75.8,27.8-57.2,0.486,6.8-18.3,0.372,13.5-19.9,0.678
25,North Florida,34,75.7,25.6-54.6,0.469,9.1-23.2,0.391,15.4-21.2,0.724
26,Oregon,34,75.6,27.6-59.7,0.461,7.3-20.2,0.36,13.1-17.3,0.76
27,Toledo,33,75.2,26.2-55.7,0.47,5.9-16.2,0.366,17.0-22.9,0.742
28,Buffalo,32,75,25.5-58.7,0.435,6.0-17.7,0.34,17.9-24.8,0.722
29,Kentucky,34,74.9,26.0-55.4,0.469,5.4-15.6,0.35,17.5-24.3,0.722
30,Gardner-Webb,34,74.7,25.9-58.1,0.447,8.1-23.4,0.349,14.7-22.1,0.665
30,Northern Colorado,30,74.7,26.8-56.4,0.475,6.8-17.8,0.381,14.3-20.1,0.714
32,Belmont,32,74.5,26.0-54.6,0.476,10.0-26.3,0.382,12.5-18.1,0.691
33,Minnesota,33,74.2,27.0-58.3,0.463,7.4-19.3,0.381,12.9-19.2,0.672
33,Lafayette,32,74.2,26.6-54.5,0.488,8.0-19.4,0.413,13.0-16.9,0.766
35,Charleston Southern,30,74,25.3-59.9,0.423,9.2-27.1,0.34,14.1-20.5,0.688
36,West Virginia,32,73.9,25.4-61.7,0.412,6.7-20.9,0.318,16.5-24.9,0.66
37,Charlotte,32,73.8,26.8-57.9,0.463,6.3-16.7,0.377,13.9-21.4,0.65
